default	0xffff00ff
0x008d:0x1	0x0901ab10	# Carrots
0x008d:0x2	0x1701bb0f	# Carrots
0x008d:0x3	0x1701bb0f	# Carrots
0x008d:0x4	0x3600be10	# Carrots
0x008d:0x5	0x3600be10	# Carrots
0x008d:0x6	0x3600be10	# Carrots
0x008d:0x7	0x6f158002	# Carrots
0x008e:0x0	0x0901ab10	# Potatoes
0x008e:0x1	0x0901ab10	# Potatoes
0x008e:0x2	0x1701bb0f	# Potatoes
0x008e:0x3	0x1701bb0f	# Potatoes
0x008e:0x4	0x3600be10	# Potatoes
0x008e:0x5	0x3600be10	# Potatoes
0x008e:0x6	0x3600be10	# Potatoes
0x008e:0x7	0x6922aa24	# Potatoes
0x0091	0x9f403c3c	# Anvil
0x0093	0xfff9ec4e	# Weighted Pressure Plate (Light)
0x0094	0xffdbdbdb	# Weighted Pressure Plate (Heavy)
0x0095	0xff9c9695	# Redstone Comparator (inactive)
0x0096	0xffa59594	# Redstone Comparator (active)
0x0097	0xff82745e	# Daylight Sensor
0x0098	0xffab1b09	# Block of Redstone
0x0099	0xff7d544f	# Nether Quartz Ore
0x009a	0xff3e3e3e	# Hopper
0x009b:0x0	0xffece9e2	# Block of Quartz
0x009b:0x1	0xffe7e4db	# Chiseled Quartz Block
0x009b:0x2	0xffe8e5dd	# Pillar Quartz Block
0x009b:0x3	0xffe7e3db	# Pillar Quartz Block
0x009b:0x4	0xffe7e3db	# Pillar Quartz Block
0x009c	0xffece9e2	# Quartz Stairs
0x009d	0x9b685347	# Activator Rail
0x009e	0xff565656	# Dropper
